id,message,proposed_risk_label,proposed_primary_type,proposed_mechanisms,source_name,source_url,campaign_group,student_decision,corrected_risk_label,corrected_primary_type,corrected_mechanisms,review_notes
msg_train_inv_001,Our gold trading bot has never lost a trade. Deposit S$800 before tonight's session for a guaranteed 15% gain.,scam,investment,urgency_or_threat|payment_request|unrealistic_reward,SPF Police Advisory on Investment Scams,https://www.police.gov.sg/media-hub/news/2025/02/20250211_police_advisory_on_investment_scams,train_inv_gold_bot_01,,,,,
msg_train_inv_002,I enjoyed chatting with you. Let me teach you the crypto method that helped me retire early; start by funding this wallet.,scam,investment,payment_request|unrealistic_reward,SPF Police Advisory on Investment Scams,https://www.police.gov.sg/media-hub/news/2025/02/20250211_police_advisory_on_investment_scams,train_inv_relationship_crypto_01,,,,,
msg_train_inv_003,"Pre-IPO allocation available only to our members. Pay the S$1,500 reservation amount now and double it after listing.",scam,investment,urgency_or_threat|payment_request|unrealistic_reward,SPF Police Advisory on Investment Scams,https://www.police.gov.sg/media-hub/news/2025/02/20250211_police_advisory_on_investment_scams,train_inv_preipo_allocation_01,,,,,
msg_train_inv_004,Activate your cloud-mining package at https://mining-yield.example.com. The dashboard pays 3% daily with zero risk.,scam,investment,external_link|payment_request|unrealistic_reward|suspicious_url,SPF Police Advisory on Investment Scams,https://www.police.gov.sg/media-hub/news/2025/02/20250211_police_advisory_on_investment_scams,train_inv_mining_yield_01,,,,,
msg_train_inv_005,"The professor's stock group has 1,200 winning students. Buy the recommended counter before 10 am and send a screenshot.",scam,investment,urgency_or_threat|social_proof_manipulation,SPF Advisory on Investment Scams Involving Chat Groups,https://www.police.gov.sg/Media-Hub/News/2026/06/20260604_police_advisory_on_investment_scams_involving_chat_groups,train_inv_professor_stock_group_01,,,,,
msg_train_inv_006,Your frozen investment account can be recovered. Pay the compliance officer S$700 first to unlock the withdrawal.,scam,investment,payment_request|urgency_or_threat,SPF Police Advisory on Investment Scams,https://www.police.gov.sg/media-hub/news/2025/02/20250211_police_advisory_on_investment_scams,train_inv_recovery_unlock_fee_01,,,,,
msg_train_inv_007,"MAS-licensed opportunity: verify your investor account at https://mas-approved-fund.example.net/login and transfer the minimum S$2,000.",scam,investment,credential_request|payment_request|external_link|brand_impersonation|suspicious_url,SPF Police Advisory on Investment Scams,https://www.police.gov.sg/media-hub/news/2025/02/20250211_police_advisory_on_investment_scams,train_inv_mas_fake_fund_01,,,,,
msg_train_inv_008,Your exchange wallet must be revalidated. Send the 12-word recovery phrase to support or trading will be disabled.,scam,investment,urgency_or_threat|credential_request,SPF Police Advisory on Investment Scams,https://www.police.gov.sg/media-hub/news/2025/02/20250211_police_advisory_on_investment_scams,train_inv_wallet_seed_phrase_01,,,,,
msg_train_inv_009,Earn fixed 8% monthly from our commodity pool. Members receive instant bonuses for each friend they add.,scam,investment,unrealistic_reward|social_proof_manipulation,SPF Advisory on Investment Scams Involving Chat Groups,https://www.police.gov.sg/Media-Hub/News/2026/06/20260604_police_advisory_on_investment_scams_involving_chat_groups,train_inv_commodity_referral_01,,,,,
msg_train_inv_010,A famous Singapore entrepreneur uses this AI share app. Install it from https://smart-share.example.org/app.apk and fund your account.,scam,investment,app_installation|payment_request|external_link|social_proof_manipulation|suspicious_url,SPF Police Advisory on Investment Scams,https://www.police.gov.sg/media-hub/news/2025/02/20250211_police_advisory_on_investment_scams,train_inv_celebrity_ai_app_01,,,,,
msg_train_job_001,Online data optimisation assistant: complete 30 clicks daily. Top up S$100 to start and withdraw S$280 after the batch.,scam,job,payment_request|unrealistic_reward,SPF/GovTech Joint Advisory on Job Scams and Singpass Misuse,https://www.police.gov.sg/Media-Hub/News/2026/05/20260515_joint_advisory_on_job_scams_involving_the_impersonation,train_job_optimisation_topup_01,,,,,
msg_train_job_002,"Hotel reviewer vacancy, S$25 per rating. Your account is negative after today's task; deposit S$350 to continue.",scam,job,payment_request|unrealistic_reward,SPF/GovTech Joint Advisory on Job Scams and Singpass Misuse,https://www.police.gov.sg/Media-Hub/News/2026/05/20260515_joint_advisory_on_job_scams_involving_the_impersonation,train_job_hotel_review_negative_01,,,,,
msg_train_job_003,You passed the interview for a remote admin role. Pay S$60 for the company laptop courier before we issue the contract.,scam,job,payment_request,SPF/GovTech Joint Advisory on Job Scams and Singpass Misuse,https://www.police.gov.sg/Media-Hub/News/2026/05/20260515_joint_advisory_on_job_scams_involving_the_impersonation,train_job_laptop_courier_fee_01,,,,,
msg_train_job_004,Recruiter: the overseas role is confirmed. Send the medical and work-permit fee by PayNow today.,scam,job,urgency_or_threat|payment_request,SPF/GovTech Joint Advisory on Job Scams and Singpass Misuse,https://www.police.gov.sg/Media-Hub/News/2026/05/20260515_joint_advisory_on_job_scams_involving_the_impersonation,train_job_permit_medical_fee_01,,,,,
msg_train_job_005,"Home-based parcel forwarding staff needed. Receive packages, remove the labels and resend them for S$200 each.",scam,job,unrealistic_reward,SPF/GovTech Joint Advisory on Job Scams and Singpass Misuse,https://www.police.gov.sg/Media-Hub/News/2026/05/20260515_joint_advisory_on_job_scams_involving_the_impersonation,train_job_parcel_reshipping_01,,,,,
msg_train_job_006,Your crypto payroll account needs S$150 activation credit before salary can be released.,scam,job,payment_request,SPF/GovTech Joint Advisory on Job Scams and Singpass Misuse,https://www.police.gov.sg/Media-Hub/News/2026/05/20260515_joint_advisory_on_job_scams_involving_the_impersonation,train_job_crypto_salary_activation_01,,,,,
msg_train_job_007,Accounts assistant position: let customers transfer money into your personal bank account and forward it daily for 5% commission.,scam,job,payment_request|unrealistic_reward,SPF/GovTech Joint Advisory on Job Scams and Singpass Misuse,https://www.police.gov.sg/Media-Hub/News/2026/05/20260515_joint_advisory_on_job_scams_involving_the_impersonation,train_job_personal_account_mule_01,,,,,
msg_train_job_008,Complete five surveys to earn S$90. The final survey requires a S$40 refundable verification payment.,scam,job,payment_request|unrealistic_reward,SPF/GovTech Joint Advisory on Job Scams and Singpass Misuse,https://www.police.gov.sg/Media-Hub/News/2026/05/20260515_joint_advisory_on_job_scams_involving_the_impersonation,train_job_survey_refund_fee_01,,,,,
msg_train_job_009,IT support vacancy: install our remote-work client and allow full device access for the screening test.,scam,job,app_installation|remote_access_request,SPF/GovTech Joint Advisory on Job Scams and Singpass Misuse,https://www.police.gov.sg/Media-Hub/News/2026/05/20260515_joint_advisory_on_job_scams_involving_the_impersonation,train_job_remote_access_screening_01,,,,,
msg_train_job_010,Sign this employment form using Singpass at https://career-sign.example.com and enter the OTP sent to your phone.,scam,job,credential_request|external_link|brand_impersonation|suspicious_url,SPF Police Advisory on Job Scams Involving Singpass Credentials,https://www.police.gov.sg/media-hub/news/2024/20240309_police_advisory_on_job_scams,train_job_fake_singpass_contract_01,,,,,
msg_train_ecom_001,Two concert tickets available below cost. PayNow the full amount in 15 minutes or I will sell them to the next buyer.,scam,e_commerce,urgency_or_threat|payment_request|off_platform_payment,SPF Police Advisory on E-Commerce Scams Through Shopee,https://www.police.gov.sg/media-hub/news/2025/01/20250124_police_advisory_on_ecommerce_scams_through_sale_of_products,train_ecom_tickets_paynow_01,,,,,
msg_train_ecom_002,"Premium durians, same-day delivery. Transfer S$80 first; orders are not accepted through the marketplace checkout.",scam,e_commerce,payment_request|off_platform_payment,SPF Police Advisory on E-Commerce Scams Through Shopee,https://www.police.gov.sg/media-hub/news/2025/01/20250124_police_advisory_on_ecommerce_scams_through_sale_of_products,train_ecom_durian_preorder_01,,,,,
msg_train_ecom_003,The sofa is reserved once you send a S$150 deposit. My mover can deliver tonight but payment must be outside Carousell.,scam,e_commerce,urgency_or_threat|payment_request|off_platform_payment|brand_impersonation,SPF Police Advisory on E-Commerce Scams Through Shopee,https://www.police.gov.sg/media-hub/news/2025/01/20250124_police_advisory_on_ecommerce_scams_through_sale_of_products,train_ecom_sofa_deposit_01,,,,,
msg_train_ecom_004,Purebred puppy available. Pay the transport insurance at https://pet-delivery.example.com before viewing.,scam,e_commerce,payment_request|external_link|suspicious_url,SPF Police Advisory on E-Commerce Scams Through Shopee,https://www.police.gov.sg/media-hub/news/2025/01/20250124_police_advisory_on_ecommerce_scams_through_sale_of_products,train_ecom_pet_transport_fee_01,,,,,
msg_train_ecom_005,Seller protection requires you to log in at https://shopee-escrow.example.net and confirm the OTP before funds are released.,scam,e_commerce,credential_request|external_link|brand_impersonation|suspicious_url,SPF Police Advisory on E-Commerce Scams Through Shopee,https://www.police.gov.sg/media-hub/news/2025/01/20250124_police_advisory_on_ecommerce_scams_through_sale_of_products,train_ecom_fake_escrow_otp_01,,,,,
msg_train_ecom_006,Your refund is ready. Complete the card verification form at https://refund-centre.example.org within 30 minutes.,scam,e_commerce,urgency_or_threat|credential_request|external_link|suspicious_url,SPF Police Advisory on E-Commerce Scams Through Shopee,https://www.police.gov.sg/media-hub/news/2025/01/20250124_police_advisory_on_ecommerce_scams_through_sale_of_products,train_ecom_refund_card_form_01,,,,,
msg_train_ecom_007,"Scan the attached payment QR to receive money from the buyer, then enter your banking PIN on the confirmation page.",scam,e_commerce,credential_request|payment_request,SPF Police Advisory on E-Commerce Scams Through Shopee,https://www.police.gov.sg/media-hub/news/2025/01/20250124_police_advisory_on_ecommerce_scams_through_sale_of_products,train_ecom_buyer_qr_pin_01,,,,,
msg_train_ecom_008,Courier insurance of S$12 is required for your order. Pay at https://secure-courier.example.com or delivery will be cancelled.,scam,e_commerce,urgency_or_threat|payment_request|external_link|suspicious_url,SPF Police Advisory on E-Commerce Scams Through Shopee,https://www.police.gov.sg/media-hub/news/2025/01/20250124_police_advisory_on_ecommerce_scams_through_sale_of_products,train_ecom_courier_insurance_01,,,,,
msg_train_ecom_009,"Authentic luxury watch, 60% below retail. Transfer the deposit today because another buyer is waiting.",scam,e_commerce,urgency_or_threat|payment_request|unrealistic_reward,SPF Police Advisory on E-Commerce Scams Through Shopee,https://www.police.gov.sg/media-hub/news/2025/01/20250124_police_advisory_on_ecommerce_scams_through_sale_of_products,train_ecom_luxury_watch_deposit_01,,,,,
msg_train_ecom_010,Platform customer service: your sale breached policy. Download the verification app from https://seller-check.example.net/app.apk to avoid suspension.,scam,e_commerce,urgency_or_threat|app_installation|external_link|brand_impersonation|suspicious_url,SPF Police Advisory on E-Commerce Scams Through Shopee,https://www.police.gov.sg/media-hub/news/2025/01/20250124_police_advisory_on_ecommerce_scams_through_sale_of_products,train_ecom_seller_verification_apk_01,,,,,
msg_train_legit_001,"DBS alert: S$52.10 was charged to your card. If unrecognised, open the DBS app directly and select Card Security.",legitimate,not_applicable,,ScamLens SG authored training hard negative,,train_legit_bank_open_app_01,,,,,
msg_train_legit_002,Your CPF statement for July is available. Access it by typing cpf.gov.sg in your browser or through the CPF mobile app.,legitimate,not_applicable,external_link|brand_impersonation,ScamLens SG authored training hard negative,,train_legit_cpf_statement_01,,,,,
msg_train_legit_003,Interview update: the hiring manager is delayed by 20 minutes. No documents or payment are needed; reply if you need to reschedule.,legitimate,not_applicable,,ScamLens SG authored training hard negative,,train_legit_interview_delay_01,,,,,
msg_train_legit_004,Your Shopee order has been paid in the app. Do not transfer money or share an OTP with the seller.,legitimate,not_applicable,brand_impersonation,ScamLens SG authored training hard negative,,train_legit_platform_paid_warning_01,,,,,
msg_train_legit_005,"Free public webinar: Understanding Investment Risk. Registration does not require a deposit, trading account or bank details.",legitimate,not_applicable,,ScamLens SG authored training hard negative,,train_legit_investment_webinar_01,,,,,
msg_train_legit_006,"Singpass notification: a login was approved at 3:14 pm. If this was not you, open the Singpass app directly to review access.",legitimate,not_applicable,brand_impersonation,ScamLens SG authored training hard negative,,train_legit_singpass_login_alert_01,,,,,
msg_train_legit_007,Your parcel is at the lobby collection point. Collection code: 4821. No fee is due.,legitimate,not_applicable,,ScamLens SG authored training hard negative,,train_legit_parcel_collection_01,,,,,
msg_train_legit_008,PayNow received: S$35.00 from A TAN. This is a receipt only; no action is required.,legitimate,not_applicable,,ScamLens SG authored training hard negative,,train_legit_paynow_receipt_01,,,,,
msg_train_legit_009,"OTP 731204 is for your purchase. Never share this code. If you did not initiate the purchase, call the number on your card.",legitimate,not_applicable,credential_request,ScamLens SG authored training hard negative,,train_legit_otp_warning_01,,,,,
msg_train_legit_010,IRAS notice: your tax assessment is available in myTax Portal. Navigate to iras.gov.sg yourself; this email contains no payment link.,legitimate,not_applicable,external_link|brand_impersonation,ScamLens SG authored training hard negative,,train_legit_iras_portal_notice_01,,,,,
msg_train_legit_011,The recruiter has sent the job description from our company email. The next step is a video interview; there are no applicant fees.,legitimate,not_applicable,,ScamLens SG authored training hard negative,,train_legit_recruiter_no_fee_01,,,,,
msg_train_legit_012,Reminder: semester fees are due next Friday. Use the university portal bookmark you already have to view the bill.,legitimate,not_applicable,urgency_or_threat|payment_request,ScamLens SG authored training hard negative,,train_legit_university_fee_01,,,,,
msg_train_legit_013,"Hospital appointment confirmed for 9 September at 2 pm. Bring your identity card; payment, if any, is made at the clinic counter.",legitimate,not_applicable,,ScamLens SG authored training hard negative,,train_legit_hospital_appointment_01,,,,,
msg_train_legit_014,Your marketplace buyer has paid through escrow. Ship only after the status changes to Paid inside the app.,legitimate,not_applicable,,ScamLens SG authored training hard negative,,train_legit_escrow_safe_sale_01,,,,,
msg_train_legit_015,"Mum, my train is delayed and my phone battery is low. I will call you when I reach home; no need to do anything.",legitimate,not_applicable,urgency_or_threat,ScamLens SG authored training hard negative,,train_legit_family_delay_01,,,,,
msg_train_amb_001,Can you send the payment to the same account as last time? I will explain after my meeting.,ambiguous,uncertain,payment_request,ScamLens SG authored ambiguous training case,,train_amb_same_account_01,,,,,
msg_train_amb_002,Security verification pending. Please call us today regarding your account.,ambiguous,uncertain,urgency_or_threat,ScamLens SG authored ambiguous training case,,train_amb_security_call_01,,,,,
msg_train_amb_003,The recruiter needs one more document before confirming your start date.,ambiguous,uncertain,,ScamLens SG authored ambiguous training case,,train_amb_recruiter_document_01,,,,,
msg_train_amb_004,Your order cannot be delivered until the outstanding item is resolved. Check your account for details.,ambiguous,uncertain,urgency_or_threat,ScamLens SG authored ambiguous training case,,train_amb_order_issue_01,,,,,
msg_train_amb_005,This opportunity closes tonight. Let me know if you want the details.,ambiguous,uncertain,urgency_or_threat,ScamLens SG authored ambiguous training case,,train_amb_opportunity_details_01,,,,,
